,song,album,album_id,artists,track_number,disc_number
3493,Special,Special,7DThjcUUrZYmpcELciIu2w,['Jimmy Cliff'],1,1
3516,Hanging Fire,Hanging Fire,3f2XkrjIF5F5c1JPfcOl5n,['Jimmy Cliff'],2,1
3533,Mistakes Were Made,Mistakes Were Made,4AxAsrkWA1uR6Gg0b3cjiO,['spencer albee'],1,1
3548,Cabin Lights Off,Cabin Lights Off,20ZWDDZUb63eTj74v75c8f,['[Indistinct Chatter]'],3,1
3600,Strong Enough To Be Your Man,Strong Enough,6UwqAwZ9lIwZ2OdQMX315U,['Travis Tritt'],3,1
3675,I'm One Of You,I'm One Of You,2Urkehp43dT5oSuea5yBrb,"['Hank Williams, Jr.']",4,1
3688,I Like It When It's Stormy,Stormy,0RpjVT5m7uCwjcMlvy7K47,"['Hank Williams, Jr.']",6,1
3710,Hog Wild,Hog Wild,6jWgmPSn2Ytqbu9uq8vMYg,"['Hank Williams, Jr.']",1,1
3731,One Night Stands,One Night Stands,3MrRUFxpsVKAL1BCcD8MWL,"['Hank Williams, Jr.']",1,1
3744,Waking The Dead,Waking The Dead,54TR1X1Ga45Kgf5crqh5T2,['L.A. Guns'],3,1
3797,Split Stones,Split Stones,3w1fCVdSU1ILmRcZm31faH,['Lymbyc Systym'],6,1
3908,Sound Of My Heart,Sound Of My Heart,4rmiSmsAkJIyJRJVUvAckl,['Hubert Kah'],5,1
3951,Run Through (Follow the Drip),Follow the Drip,3CAa3tmme1gCbZuozSvlzh,['Dillanoiz'],1,1
3960,Hand Me My Flowers (Intro),Hand Me My Flowers,3zaQroo1VFM1eGe7RCb2at,['Flee Lord'],1,1
4011,Breakfast In The Field,Breakfast In The Field,7yYvASPdhLuJ2onXJjsDx2,['Michael Hedges'],6,1
4062,Paper Dreams,Paper Dreams,50IIW6JDHEbuhMcHXN4jNR,['Emma Cherry'],7,1
4068,Résilient,Résilient,2euSclKidTWCQ2j62UcY8U,['Taktika'],3,1
4249,Negativ Reinforcements,Negativ,46ZyFkEdCw1o7Zc2fLrkvv,['Proem'],11,1
4338,Hunger,Hunger,167n0m0O6IJmAWi2xqxfxg,['Janis Ian'],6,1
4373,Closer Than Close,Closer Than Close,2PcdeJnFJANGWG3SxFbe5C,['Rosie Gaines'],3,1
4408,Triskaideka,Triskaideka,56fbZvq0zny3N7HQX2g9BF,['Syndrone'],6,1
